,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,throughput,goodThroughput,retransmissionsPerPacket,w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
1,1.0,1.0,3.0,4.0,22.0,0.0,22.0,0.0,0.29136,0.17968,0.0,6.0
2,0.0,0.0,5.0,5.0,25.0,0.0,25.0,0.0,0.55008,0.436,0.0,6.0
3,0.0,0.0,5.0,5.0,10.0,0.0,10.0,0.0,0.47376,0.436,0.0,6.0
4,0.0,0.0,5.0,5.0,7.0,0.0,7.0,0.0,0.46016,0.436,0.0,6.0
5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,6.0
6,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,6.0
7,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,6.0
8,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,6.0
9,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.36,0.3488,0.0,6.0
10,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,6.0
11,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,6.0
12,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,6.0
13,3.0,3.0,18.0,18.0,21.0,0.0,21.0,0.0,1.38576,1.32384,0.0,6.0
14,4.0,4.0,33.0,37.0,37.0,4.0,58.0,19.0,4.06528,2.54992,0.3275862068965517,6.0
15,0.0,0.0,24.0,41.0,24.0,17.0,127.0,93.0,10.78032,2.0928,0.7322834645669292,6.0
16,0.0,0.0,29.0,40.0,29.0,7.0,118.0,83.0,10.17024,2.5288,0.7033898305084746,6.0
17,0.0,0.0,32.0,37.0,33.0,11.0,113.0,76.0,9.81008,2.8776,0.672566371681416,6.0
18,0.0,0.0,25.0,38.0,29.0,3.0,125.0,88.0,10.9392,2.5288,0.704,6.0
19,0.0,0.0,27.0,38.0,29.0,5.0,113.0,81.0,9.8928,2.5288,0.7168141592920354,6.0
20,0.0,0.0,29.0,40.0,31.0,8.0,122.0,87.0,10.67984,2.7032,0.7131147540983607,6.0
21,0.0,0.0,24.0,39.0,27.0,8.0,131.0,99.0,11.63456,2.3544,0.7557251908396947,6.0
22,0.0,0.0,32.0,40.0,32.0,8.0,129.0,85.0,11.11696,2.7904,0.6589147286821705,6.0
23,0.0,0.0,30.0,40.0,32.0,5.0,102.0,71.0,9.02416,2.7904,0.696078431372549,6.0
24,0.0,0.0,37.0,40.0,37.0,6.0,130.0,78.0,10.7096,3.2264,0.6,6.0
25,0.0,0.0,26.0,26.0,29.0,0.0,42.0,0.0,2.35568,2.2672,0.0,6.0
26,0.0,0.0,23.0,22.0,23.0,0.0,35.0,0.0,2.07264,2.0056,0.0,6.0
27,0.0,0.0,24.0,23.0,24.0,0.0,35.0,0.0,2.16096,2.0928,0.0,6.0
28,0.0,0.0,25.0,25.0,25.0,2.0,39.0,2.0,2.42368,2.18,0.05128205128205128,6.0
29,0.0,0.0,25.0,25.0,25.0,3.0,40.0,3.0,2.51088,2.18,0.075,6.0
30,0.0,0.0,25.0,25.0,28.0,4.0,44.0,4.0,2.6048,2.18,0.09090909090909091,6.0
31,1.0,1.0,31.0,31.0,32.0,4.0,48.0,4.0,3.05776,2.62128,0.08333333333333333,6.0
32,0.0,0.0,30.0,30.0,30.0,4.0,46.0,4.0,3.03968,2.616,0.08695652173913043,6.0
33,0.0,0.0,30.0,31.0,43.0,4.0,53.0,8.0,3.08928,2.616,0.1509433962264151,6.0
34,2.0,2.0,41.0,41.0,46.0,5.0,83.0,35.0,6.55872,3.41136,0.42168674698795183,6.0
35,1.0,1.0,30.0,42.0,34.0,19.0,149.0,102.0,11.71248,2.53408,0.6845637583892618,6.0
36,0.0,0.0,17.0,43.0,18.0,17.0,185.0,152.0,16.33328,1.5696,0.8216216216216217,6.0
37,0.0,0.0,17.0,45.0,18.0,6.0,175.0,140.0,15.28688,1.5696,0.8,6.0
38,0.0,0.0,12.0,44.0,14.0,9.0,180.0,145.0,15.6312,1.2208,0.8055555555555556,6.0
39,0.0,0.0,16.0,45.0,17.0,5.0,152.0,119.0,13.28016,1.4824,0.7828947368421053,6.0
