,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,throughput,goodThroughput,retransmissionsPerPacket,w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
1,1.0,1.0,3.0,4.0,17.0,0.0,3.0,0.0,6.0,0.21264,0.17968,0.0,2.0
2,0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,6.0,0.44848,0.436,0.0,2.0
3,0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,7.714285714285714,0.4416,0.436,0.0,2.0
4,0.0,0.0,5.0,5.0,18.0,0.0,5.0,0.0,6.833333333333333,0.46784,0.436,0.0,2.0
5,0.0,0.0,5.0,5.0,12.0,0.0,5.0,0.0,8.25,0.45408,0.436,0.0,2.0
6,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,12.0,0.436,0.436,0.0,2.0
7,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,16.8,0.436,0.436,0.0,2.0
8,0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,13.5,0.44288,0.436,0.0,2.0
9,0.0,0.0,4.0,4.0,6.0,0.0,4.0,0.0,17.0,0.3544,0.3488,0.0,2.0
10,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,24.0,0.436,0.436,0.0,2.0
11,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,31.2,0.436,0.436,0.0,2.0
12,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,36.0,0.436,0.436,0.0,2.0
13,1.0,1.0,11.0,11.0,12.0,0.0,11.0,0.0,21.5,0.8784,0.87728,0.0,2.0
14,2.0,2.0,20.0,20.0,22.0,0.0,20.0,0.0,15.818181818181818,1.5824,1.58016,0.0,2.0
15,0.0,0.0,19.0,19.0,19.0,0.0,19.0,0.0,19.105263157894736,1.6568,1.6568,0.0,2.0
16,2.0,2.0,29.0,29.0,31.0,0.0,29.0,0.0,15.096774193548388,2.3672,2.36496,0.0,2.0
17,2.0,2.0,40.0,41.0,42.0,0.0,41.0,0.0,13.255813953488373,3.4136,3.32416,0.0,2.0
18,0.0,0.0,39.0,39.0,39.0,0.0,39.0,0.0,14.307692307692308,3.4008,3.4008,0.0,2.0
19,0.0,0.0,39.0,38.0,39.0,0.0,38.0,0.0,17.289473684210527,3.3136,3.4008,0.0,2.0
20,1.0,1.0,42.0,42.0,43.0,0.0,42.0,0.0,17.72093023255814,3.5816,3.58048,0.0,2.0
21,0.0,0.0,44.0,44.0,44.0,0.0,44.0,0.0,19.09090909090909,3.8368,3.8368,0.0,2.0
22,0.0,0.0,44.0,44.0,44.0,0.0,44.0,0.0,22.09090909090909,3.8368,3.8368,0.0,2.0
23,0.0,0.0,44.0,45.0,44.0,1.0,45.0,0.0,24.733333333333334,3.924,3.8368,0.0,2.0
24,0.0,0.0,43.0,42.0,43.0,2.0,45.0,3.0,27.8,3.924,3.7496,0.06666666666666667,2.0
25,0.0,0.0,45.0,45.0,45.0,1.0,46.0,1.0,28.956521739130434,4.0112,3.924,0.021739130434782608,2.0
26,0.0,0.0,44.0,44.0,44.0,2.0,46.0,2.0,31.434782608695652,4.0112,3.8368,0.043478260869565216,2.0
27,0.0,0.0,43.0,44.0,43.0,1.0,45.0,1.0,34.666666666666664,3.924,3.7496,0.022222222222222223,2.0
28,0.0,0.0,45.0,44.0,45.0,1.0,45.0,1.0,39.2,3.924,3.924,0.022222222222222223,2.0
29,0.0,0.0,43.0,43.0,43.0,3.0,48.0,5.0,39.625,4.1856,3.7496,0.10416666666666667,2.0
30,0.0,0.0,44.0,44.0,44.0,5.0,49.0,5.0,40.285714285714285,4.2728,3.8368,0.10204081632653061,2.0
31,0.0,0.0,45.0,45.0,45.0,7.0,52.0,7.0,41.53846153846154,4.5344,3.924,0.1346153846153846,2.0
