,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,throughput,goodThroughput,retransmissionsPerPacket,w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1,1.0,1.0,3.0,4.0,35.0,0.0,35.0,0.0,0.35584,0.17968,0.0,3.0
2,0.0,0.0,5.0,5.0,30.0,0.0,32.0,0.0,0.58128,0.436,0.0,3.0
3,0.0,0.0,5.0,5.0,30.0,0.0,30.0,0.0,0.57552,0.436,0.0,3.0
4,0.0,0.0,5.0,5.0,9.0,0.0,9.0,0.0,0.472,0.436,0.0,3.0
5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
6,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
7,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
8,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
9,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.36,0.3488,0.0,3.0
10,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
11,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
12,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
13,6.0,6.0,31.0,32.0,37.0,2.0,56.0,23.0,3.59264,2.21168,0.4107142857142857,3.0
14,2.0,2.0,23.0,49.0,25.0,6.0,162.0,123.0,11.90432,1.84176,0.7592592592592593,3.0
15,2.0,2.0,30.0,63.0,38.0,4.0,170.0,130.0,12.69424,2.97536,0.7647058823529411,3.0
16,0.0,0.0,27.0,54.0,34.0,3.0,167.0,125.0,13.86464,2.9648,0.7485029940119761,3.0
17,0.0,0.0,15.0,50.0,15.0,4.0,163.0,135.0,14.32432,1.308,0.8282208588957055,3.0
18,0.0,0.0,31.0,53.0,38.0,4.0,156.0,109.0,13.39088,3.3136,0.6987179487179487,3.0
19,0.0,0.0,25.0,53.0,28.0,2.0,143.0,109.0,12.76928,2.4416,0.7622377622377622,3.0
20,0.0,0.0,26.0,55.0,31.0,6.0,178.0,139.0,15.56304,2.7032,0.7808988764044944,3.0
21,0.0,0.0,11.0,54.0,12.0,3.0,195.0,159.0,16.93696,1.0464,0.8153846153846154,3.0
