,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,throughput,goodThroughput,retransmissionsPerPacket,w
287,0.0,0.0,18.0,46.0,25.0,7.0,173.0,125.0,14.11296,2.18,0.7225433526011561,5.0
288,0.0,0.0,22.0,46.0,26.0,5.0,179.0,124.0,13.13168,2.2672,0.6927374301675978,5.0
289,0.0,0.0,23.0,45.0,27.0,9.0,167.0,115.0,13.16304,2.3544,0.688622754491018,5.0
290,0.0,0.0,18.0,43.0,24.0,7.0,178.0,128.0,14.38048,2.0928,0.7191011235955056,5.0
291,0.0,0.0,19.0,44.0,28.0,9.0,176.0,121.0,13.08176,1.8312,0.6875,5.0
292,0.0,0.0,24.0,44.0,32.0,5.0,182.0,126.0,14.4112,2.5288,0.6923076923076923,5.0
293,0.0,0.0,22.0,45.0,36.0,5.0,183.0,139.0,13.16992,2.3544,0.7595628415300546,5.0
294,1.0,1.0,24.0,52.0,29.0,9.0,154.0,110.0,12.18048,2.18528,0.7142857142857143,5.0
295,0.0,0.0,21.0,50.0,27.0,7.0,190.0,144.0,15.38624,2.2672,0.7578947368421053,5.0
296,0.0,0.0,20.0,52.0,26.0,6.0,169.0,124.0,13.94352,2.2672,0.7337278106508875,5.0
297,0.0,0.0,18.0,50.0,23.0,6.0,190.0,140.0,15.68416,2.0056,0.7368421052631579,5.0
298,0.0,0.0,20.0,49.0,26.0,5.0,182.0,138.0,14.41088,2.2672,0.7582417582417582,5.0
299,0.0,0.0,28.0,47.0,29.0,3.0,152.0,100.0,13.04352,2.5288,0.6578947368421053,5.0
300,0.0,0.0,21.0,48.0,27.0,4.0,167.0,122.0,13.77024,2.3544,0.7305389221556886,5.0
