,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,throughput,goodThroughput,retransmissionsPerPacket,w
43,0.0,0.0,28.0,28.0,30.0,9.0,113.0,84.0,8.176991150442477,9.8536,2.616,0.7433628318584071,2.0
44,0.0,0.0,25.0,35.0,30.0,9.0,126.0,92.0,7.571428571428571,10.9872,2.616,0.7301587301587301,2.0
45,0.0,0.0,29.0,35.0,33.0,7.0,110.0,76.0,6.818181818181818,9.592,2.8776,0.6909090909090909,2.0
46,0.0,0.0,22.0,35.0,25.0,7.0,116.0,86.0,6.879310344827586,10.1152,2.18,0.7413793103448276,2.0
47,0.0,0.0,35.0,35.0,36.0,10.0,103.0,63.0,7.747572815533981,8.9816,3.1392,0.6116504854368932,2.0
48,0.0,0.0,30.0,35.0,30.0,8.0,94.0,60.0,7.627659574468085,8.1968,2.616,0.6382978723404256,2.0
49,0.0,0.0,29.0,35.0,33.0,7.0,115.0,81.0,7.721739130434782,10.028,2.8776,0.7043478260869566,2.0
50,0.0,0.0,26.0,35.0,30.0,6.0,112.0,80.0,7.5,9.7664,2.616,0.7142857142857143,2.0
51,0.0,0.0,35.0,35.0,37.0,7.0,95.0,57.0,8.905263157894737,8.284,3.2264,0.6,2.0
52,0.0,0.0,29.0,28.0,33.0,6.0,102.0,71.0,7.882352941176471,8.8944,2.8776,0.696078431372549,2.0
53,0.0,0.0,22.0,35.0,28.0,6.0,130.0,100.0,7.846153846153846,11.336,2.4416,0.7692307692307693,2.0
54,0.0,0.0,32.0,35.0,33.0,9.0,104.0,66.0,8.307692307692308,9.0688,2.8776,0.6346153846153846,2.0
55,0.0,0.0,35.0,35.0,38.0,5.0,112.0,75.0,8.142857142857142,9.7664,3.3136,0.6696428571428571,2.0
56,0.0,0.0,25.0,35.0,27.0,10.0,103.0,72.0,8.330097087378642,8.9816,2.3544,0.6990291262135923,2.0
57,0.0,0.0,29.0,35.0,38.0,4.0,120.0,84.0,8.0,10.464,3.3136,0.7,2.0
58,0.0,0.0,27.0,35.0,32.0,9.0,104.0,72.0,8.307692307692308,9.0688,2.7904,0.6923076923076923,2.0
59,0.0,0.0,37.0,35.0,38.0,5.0,92.0,51.0,8.608695652173912,8.0224,3.3136,0.5543478260869565,2.0
60,0.0,0.0,22.0,28.0,24.0,6.0,104.0,78.0,7.875,9.0688,2.0928,0.75,2.0
61,0.0,0.0,28.0,35.0,30.0,15.0,97.0,65.0,8.474226804123711,8.4584,2.616,0.6701030927835051,2.0
62,0.0,0.0,32.0,35.0,37.0,4.0,126.0,90.0,7.904761904761905,10.9872,3.2264,0.7142857142857143,2.0
63,0.0,0.0,28.0,35.0,30.0,9.0,113.0,77.0,8.123893805309734,9.8536,2.616,0.6814159292035398,2.0
64,0.0,0.0,32.0,35.0,37.0,6.0,106.0,71.0,8.264150943396226,9.2432,3.2264,0.6698113207547169,2.0
65,0.0,0.0,25.0,35.0,26.0,3.0,109.0,79.0,8.20183486238532,9.5048,2.2672,0.7247706422018348,2.0
66,0.0,0.0,32.0,35.0,33.0,8.0,102.0,67.0,8.352941176470589,8.8944,2.8776,0.6568627450980392,2.0
67,0.0,0.0,32.0,35.0,37.0,7.0,97.0,61.0,8.474226804123711,8.4584,3.2264,0.6288659793814433,2.0
68,0.0,0.0,32.0,35.0,34.0,5.0,106.0,72.0,8.88679245283019,9.2432,2.9648,0.6792452830188679,2.0
69,0.0,0.0,22.0,28.0,24.0,7.0,113.0,82.0,7.8584070796460175,9.8536,2.0928,0.7256637168141593,2.0
70,0.0,0.0,29.0,35.0,32.0,3.0,108.0,74.0,8.166666666666666,9.4176,2.7904,0.6851851851851852,2.0
71,0.0,0.0,31.0,35.0,36.0,6.0,106.0,70.0,8.264150943396226,9.2432,3.1392,0.660377358490566,2.0
72,0.0,0.0,27.0,35.0,28.0,7.0,110.0,77.0,8.181818181818182,9.592,2.4416,0.7,2.0
73,0.0,0.0,30.0,35.0,31.0,4.0,116.0,82.0,8.068965517241379,10.1152,2.7032,0.7068965517241379,2.0
74,0.0,0.0,25.0,35.0,26.0,4.0,110.0,81.0,8.181818181818182,9.592,2.2672,0.7363636363636363,2.0
75,0.0,0.0,32.0,35.0,33.0,5.0,97.0,58.0,8.474226804123711,8.4584,2.8776,0.5979381443298969,2.0
76,0.0,0.0,25.0,35.0,26.0,8.0,111.0,80.0,8.621621621621621,9.6792,2.2672,0.7207207207207207,2.0
77,0.0,0.0,27.0,34.0,27.0,8.0,105.0,74.0,7.828571428571428,9.156,2.3544,0.7047619047619048,2.0
78,0.0,0.0,22.0,29.0,24.0,10.0,113.0,83.0,8.123893805309734,9.8536,2.0928,0.7345132743362832,2.0
79,0.0,0.0,34.0,35.0,34.0,8.0,103.0,68.0,8.330097087378642,8.9816,2.9648,0.6601941747572816,2.0
80,0.0,0.0,24.0,35.0,30.0,4.0,117.0,86.0,8.051282051282051,10.2024,2.616,0.7350427350427351,2.0
81,0.0,0.0,31.0,35.0,34.0,2.0,116.0,83.0,8.068965517241379,10.1152,2.9648,0.7155172413793104,2.0
82,0.0,0.0,31.0,35.0,35.0,3.0,101.0,67.0,8.376237623762377,8.8072,3.052,0.6633663366336634,2.0
83,0.0,0.0,33.0,35.0,34.0,3.0,112.0,72.0,8.142857142857142,9.7664,2.9648,0.6428571428571429,2.0
84,0.0,0.0,26.0,35.0,30.0,8.0,107.0,77.0,7.794392523364486,9.3304,2.616,0.719626168224299,2.0
85,0.0,0.0,23.0,35.0,30.0,4.0,122.0,90.0,8.360655737704919,10.6384,2.616,0.7377049180327869,2.0
86,0.0,0.0,30.0,28.0,33.0,0.0,102.0,70.0,7.882352941176471,8.8944,2.8776,0.6862745098039216,2.0
87,0.0,0.0,23.0,35.0,26.0,10.0,122.0,92.0,7.967213114754099,10.6384,2.2672,0.7540983606557377,2.0
88,0.0,0.0,24.0,35.0,26.0,10.0,116.0,83.0,8.482758620689655,10.1152,2.2672,0.7155172413793104,2.0
89,0.0,0.0,27.0,35.0,32.0,5.0,120.0,88.0,8.0,10.464,2.7904,0.7333333333333333,2.0
90,0.0,0.0,31.0,35.0,35.0,7.0,108.0,74.0,8.222222222222221,9.4176,3.052,0.6851851851851852,2.0
91,0.0,0.0,26.0,35.0,26.0,11.0,109.0,72.0,8.20183486238532,9.5048,2.2672,0.6605504587155964,2.0
92,0.0,0.0,30.0,35.0,31.0,13.0,95.0,57.0,8.526315789473685,8.284,2.7032,0.6,2.0
93,0.0,0.0,23.0,35.0,24.0,8.0,106.0,76.0,8.264150943396226,9.2432,2.0928,0.7169811320754716,2.0
94,0.0,0.0,32.0,34.0,32.0,9.0,97.0,65.0,7.979381443298969,8.4584,2.7904,0.6701030927835051,2.0
95,0.0,0.0,27.0,29.0,29.0,8.0,108.0,74.0,8.222222222222221,9.4176,2.5288,0.6851851851851852,2.0
96,0.0,0.0,28.0,35.0,28.0,14.0,102.0,68.0,8.352941176470589,8.8944,2.4416,0.6666666666666666,2.0
97,0.0,0.0,28.0,35.0,32.0,6.0,113.0,80.0,8.123893805309734,9.8536,2.7904,0.7079646017699115,2.0
98,0.0,0.0,28.0,35.0,30.0,5.0,106.0,75.0,8.264150943396226,9.2432,2.616,0.7075471698113207,2.0
99,0.0,0.0,36.0,35.0,36.0,9.0,96.0,54.0,8.5,8.3712,3.1392,0.5625,2.0
100,0.0,0.0,27.0,35.0,30.0,4.0,112.0,79.0,7.714285714285714,9.7664,2.616,0.7053571428571429,2.0
101,0.0,0.0,30.0,35.0,33.0,3.0,108.0,71.0,8.666666666666666,9.4176,2.8776,0.6574074074074074,2.0
102,0.0,0.0,31.0,35.0,35.0,6.0,114.0,80.0,8.105263157894736,9.9408,3.052,0.7017543859649122,2.0
103,0.0,0.0,27.0,28.0,27.0,7.0,104.0,72.0,7.846153846153846,9.0688,2.3544,0.6923076923076923,2.0
104,0.0,0.0,32.0,35.0,35.0,10.0,115.0,79.0,9.234782608695653,10.028,3.052,0.6869565217391305,2.0
