devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,70.0,19.0
1.0,1.0,3.0,4.0,12.0,0.0,3.0,0.0,6.0,0.0546133333333333,0.20016,0.17968,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,12.0,0.0,5.0,0.0,6.642857142857143,0.0616602150537634,0.45984,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,13.0,0.0,5.0,0.0,7.615384615384615,0.0537858585858585,0.45536,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,9.6,0.0426666666666666,0.44848,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,14.571428571428571,0.0281098039215686,0.4416,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,24.0,0.0170666666666666,0.436,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,33.6,0.0121904761904761,0.436,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,43.2,0.0094814814814814,0.436,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,49.5,0.0066197979797979,0.3488,0.3488,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.0075851851851851,0.436,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,36.0,0.0113777777777777,0.44288,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,30.0,0.0136533333333333,0.44848,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,40.285714285714285,0.0101673758865248,0.4416,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.0075851851851851,0.436,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.0075851851851851,0.436,0.436,0.0,6.0,6.0,70.0,19.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,30.0,0.0136533333333333,0.44848,0.436,0.0,6.0,6.0,70.0,19.0
1.0,2.0,8.0,9.0,9.0,0.0,9.0,0.0,30.0,0.0245759999999999,0.62208,0.53376,0.0,6.0,6.0,70.0,19.0
1.0,1.0,15.0,17.0,17.0,6.0,40.0,23.0,12.0,0.1160533333333333,3.41408,1.22608,0.575,6.0,6.0,70.0,19.0
0.0,0.0,19.0,21.0,22.0,9.0,49.0,33.0,10.137931034482758,0.1696914285714285,3.73312,1.6568,0.673469387755102,6.0,6.0,70.0,19.0
1.0,1.0,25.0,23.0,28.0,1.0,27.0,5.0,14.0,0.1345828571428571,2.2792,2.09808,0.1851851851851851,6.0,6.0,70.0,19.0
0.0,0.0,24.0,24.0,24.0,0.0,24.0,0.0,18.125,0.1084733793103448,2.0928,2.0928,0.0,6.0,6.0,70.0,19.0
0.0,0.0,25.0,24.0,28.0,0.0,24.0,0.0,18.33333333333333,0.1072407272727273,2.09968,2.18,0.0,6.0,6.0,70.0,19.0
0.0,0.0,24.0,25.0,26.0,0.0,25.0,0.0,21.11111111111111,0.0970105263157894,2.1856,2.0928,0.0,6.0,6.0,70.0,19.0
0.0,0.0,25.0,24.0,25.0,2.0,26.0,2.0,25.384615384615383,0.0774516363636363,2.2672,2.18,0.0769230769230769,6.0,6.0,70.0,19.0
0.0,0.0,25.0,25.0,30.0,2.0,27.0,2.0,23.8125,0.086005249343832,2.36688,2.18,0.074074074074074,6.0,6.0,70.0,19.0
0.0,0.0,24.0,24.0,24.0,2.0,26.0,2.0,28.15384615384616,0.0698334426229508,2.2672,2.0928,0.0769230769230769,6.0,6.0,70.0,19.0
1.0,1.0,27.0,27.0,33.0,3.0,30.0,3.0,24.83333333333333,0.0890673825503355,2.54768,2.27248,0.1,6.0,6.0,70.0,19.0
1.0,1.0,33.0,33.0,34.0,4.0,37.0,4.0,24.55263157894737,0.110104694533762,3.1456,2.79568,0.1081081081081081,6.0,6.0,70.0,19.0
1.0,1.0,40.0,40.0,41.0,2.0,52.0,12.0,20.37735849056604,0.1608059259259259,4.4536,3.40608,0.2307692307692307,6.0,6.0,70.0,19.0
0.0,0.0,39.0,39.0,39.0,3.0,51.0,12.0,22.23529411764705,0.1436850793650793,4.4472,3.4008,0.2352941176470588,6.0,6.0,70.0,19.0
0.0,0.0,40.0,40.0,40.0,3.0,51.0,11.0,23.58823529411765,0.1389167082294264,4.4472,3.488,0.2156862745098039,6.0,6.0,70.0,19.0
1.0,1.0,43.0,44.0,50.0,6.0,67.0,23.0,19.135135135135137,0.1883697175141243,5.5296,3.66768,0.3432835820895522,6.0,6.0,70.0,19.0
0.0,0.0,44.0,44.0,48.0,5.0,58.0,14.0,22.693548387096776,0.1588328073916133,5.0688,3.8368,0.2413793103448276,6.0,6.0,70.0,19.0
1.0,1.0,49.0,48.0,50.0,3.0,62.0,14.0,24.09523809523809,0.1631924110671936,5.3256,4.19088,0.2258064516129032,6.0,6.0,70.0,19.0
0.0,0.0,46.0,49.0,46.0,8.0,68.0,19.0,23.38235294117647,0.1716713459119496,5.9296,4.0112,0.2794117647058823,6.0,6.0,70.0,19.0
0.0,0.0,49.0,47.0,54.0,12.0,72.0,25.0,21.97402597402597,0.1752177777777778,6.29088,4.2728,0.3472222222222222,6.0,6.0,70.0,19.0
0.0,0.0,49.0,50.0,49.0,7.0,66.0,16.0,23.77272727272728,0.1722982791586998,5.7552,4.2728,0.2424242424242424,6.0,6.0,70.0,19.0
1.0,1.0,50.0,52.0,51.0,6.0,69.0,19.0,23.442857142857143,0.1817116392443631,5.936,4.27808,0.2753623188405797,6.0,6.0,70.0,19.0
0.0,0.0,55.0,52.0,55.0,5.0,65.0,11.0,24.13846153846153,0.1764752071383046,5.668,4.796,0.1692307692307692,6.0,6.0,70.0,19.0
0.0,0.0,53.0,54.0,53.0,10.0,72.0,18.0,23.791666666666668,0.1859340105078809,6.2784,4.6216,0.25,6.0,6.0,70.0,19.0
1.0,1.0,60.0,59.0,61.0,7.0,73.0,14.0,23.91891891891892,0.2020693333333333,6.2848,5.15008,0.1917808219178082,6.0,6.0,70.0,19.0
0.0,0.0,57.0,61.0,57.0,14.0,100.0,39.0,21.6,0.2313481481481481,8.39232,4.9704,0.39,6.0,6.0,70.0,19.0
1.0,1.0,66.0,65.0,68.0,17.0,116.0,52.0,19.7948717948718,0.2689989637305699,10.0344,5.76048,0.4482758620689655,6.0,6.0,70.0,19.0
0.0,0.0,37.0,63.0,38.0,30.0,235.0,173.0,19.644351464435147,0.2627197955271565,20.50352,3.2264,0.7361702127659574,6.0,6.0,70.0,19.0
0.0,0.0,23.0,63.0,33.0,28.0,254.0,209.0,12.766917293233083,0.4042448056537102,22.18624,2.4416,0.8228346456692913,6.0,6.0,70.0,19.0
0.0,0.0,22.0,64.0,25.0,5.0,231.0,185.0,8.23404255319149,0.6367321963824288,20.15472,2.18,0.8008658008658008,6.0,6.0,70.0,19.0
0.0,0.0,16.0,63.0,33.0,2.0,222.0,181.0,7.318965517241379,0.7051488339222615,19.38352,2.2672,0.8153153153153153,6.0,6.0,70.0,19.0
0.0,0.0,20.0,65.0,25.0,2.0,244.0,197.0,7.060975609756097,0.7541167530224525,20.21744,2.0056,0.8073770491803278,6.0,6.0,70.0,19.0
0.0,0.0,14.0,63.0,22.0,2.0,238.0,196.0,7.008403361344538,0.7363959712230217,20.67168,1.9184,0.8235294117647058,6.0,6.0,70.0,19.0
0.0,0.0,22.0,64.0,29.0,4.0,219.0,171.0,7.219178082191781,0.726243339658444,19.0968,2.5288,0.7808219178082192,6.0,6.0,70.0,19.0
0.0,0.0,13.0,65.0,16.0,0.0,240.0,201.0,7.075,0.7526219081272084,20.928,1.3952,0.8375,6.0,6.0,70.0,19.0
0.0,0.0,17.0,65.0,24.0,2.0,235.0,187.0,6.817021276595745,0.7811036204744068,19.91856,2.0928,0.7957446808510639,6.0,6.0,70.0,19.0
0.0,0.0,22.0,61.0,33.0,1.0,212.0,164.0,7.132075471698113,0.7006543915343916,18.4864,2.8776,0.7735849056603774,6.0,6.0,70.0,19.0
0.0,0.0,20.0,65.0,29.0,2.0,207.0,161.0,7.260869565217392,0.7333556886227545,18.0504,2.5288,0.7777777777777778,6.0,6.0,70.0,19.0
0.0,0.0,14.0,64.0,21.0,0.0,237.0,192.0,7.012658227848101,0.7476309025270758,20.6664,1.8312,0.810126582278481,6.0,6.0,70.0,19.0
0.0,0.0,39.0,52.0,43.0,2.0,134.0,83.0,7.577922077922078,0.5621382690659812,11.7424,3.7496,0.6194029850746269,6.0,6.0,70.0,19.0
0.0,0.0,42.0,43.0,47.0,2.0,127.0,73.0,8.387755102040817,0.4199645742092457,11.132,4.0984,0.5748031496062992,6.0,6.0,70.0,19.0
1.0,1.0,49.0,50.0,52.0,2.0,116.0,59.0,8.474452554744525,0.4833350559862188,9.60048,4.36528,0.5086206896551724,6.0,6.0,70.0,19.0
0.0,0.0,40.0,50.0,44.0,3.0,133.0,83.0,8.27450980392157,0.4950142180094786,11.57328,3.7496,0.6240601503759399,6.0,6.0,70.0,19.0
0.0,0.0,34.0,50.0,41.0,3.0,155.0,107.0,7.354285714285714,0.556954156954157,13.08208,3.5752,0.6903225806451613,6.0,6.0,70.0,19.0
1.0,1.0,59.0,57.0,63.0,5.0,114.0,48.0,8.933823529411764,0.5226698271604937,9.8368,5.15008,0.4210526315789473,6.0,6.0,70.0,19.0
0.0,0.0,40.0,53.0,45.0,3.0,166.0,114.0,8.429347826086957,0.5150766215344939,14.53024,3.924,0.6867469879518072,6.0,6.0,70.0,19.0
1.0,1.0,38.0,59.0,41.0,2.0,173.0,120.0,7.705263157894737,0.6272699453551912,15.05088,3.40608,0.6936416184971098,6.0,6.0,70.0,19.0
0.0,0.0,22.0,59.0,25.0,2.0,190.0,146.0,7.237864077669903,0.6677771160295104,16.61408,2.18,0.7684210526315789,6.0,6.0,70.0,19.0
0.0,0.0,32.0,57.0,38.0,2.0,180.0,129.0,7.48469387755102,0.6238651942740286,15.74208,3.3136,0.7166666666666667,6.0,6.0,70.0,19.0
0.0,0.0,43.0,63.0,51.0,6.0,151.0,103.0,7.983050847457627,0.6464896815286623,13.25776,3.924,0.6821192052980133,6.0,6.0,70.0,19.0
0.0,0.0,26.0,59.0,27.0,2.0,187.0,145.0,7.514851485148514,0.6431637417654809,16.3608,2.3544,0.7754010695187166,6.0,6.0,70.0,19.0
0.0,0.0,49.0,61.0,49.0,5.0,132.0,75.0,9.064285714285717,0.5512977147360126,11.12384,4.2728,0.5681818181818182,6.0,6.0,70.0,19.0
0.0,0.0,35.0,59.0,35.0,10.0,172.0,122.0,9.633333333333333,0.5017245674740485,14.8576,3.052,0.7093023255813954,6.0,6.0,70.0,19.0
0.0,0.0,46.0,58.0,49.0,2.0,132.0,76.0,9.192857142857145,0.5168534576534576,11.45152,4.19088,0.5757575757575758,6.0,6.0,70.0,19.0
0.0,0.0,44.0,60.0,44.0,8.0,150.0,108.0,9.156976744186046,0.5367710476190476,13.16576,3.8368,0.72,6.0,6.0,70.0,19.0
0.0,0.0,34.0,60.0,41.0,5.0,167.0,120.0,8.854054054054053,0.5551355311355312,14.6208,3.3136,0.718562874251497,6.0,6.0,70.0,19.0
0.0,0.0,45.0,59.0,52.0,2.0,140.0,84.0,8.883116883116884,0.5440973099415204,12.08128,4.0112,0.6,6.0,6.0,70.0,19.0
0.0,0.0,45.0,58.0,45.0,2.0,154.0,99.0,8.981481481481481,0.5290174020618557,13.12416,3.924,0.6428571428571429,6.0,6.0,70.0,19.0
0.0,0.0,31.0,58.0,35.0,1.0,172.0,123.0,8.183333333333334,0.5806142566191446,14.93952,3.052,0.7151162790697675,6.0,6.0,70.0,19.0
0.0,0.0,42.0,64.0,45.0,3.0,148.0,105.0,8.53448275862069,0.6143172525252524,13.00288,3.8368,0.7094594594594594,6.0,6.0,70.0,19.0
0.0,0.0,23.0,61.0,26.0,10.0,213.0,165.0,8.747787610619469,0.5712438644410723,18.60928,2.0056,0.7746478873239436,6.0,6.0,70.0,19.0
0.0,0.0,34.0,60.0,35.0,5.0,182.0,131.0,8.333333333333334,0.5898239999999999,15.34624,3.052,0.7197802197802198,6.0,6.0,70.0,19.0
0.0,0.0,41.0,58.0,49.0,9.0,176.0,126.0,9.612244897959185,0.4943028450106157,15.41728,3.7496,0.7159090909090909,6.0,6.0,70.0,19.0
0.0,0.0,21.0,60.0,29.0,4.0,200.0,153.0,7.911764705882353,0.6212520446096653,16.87808,2.5288,0.765,6.0,6.0,70.0,19.0
0.0,0.0,31.0,59.0,32.0,4.0,175.0,126.0,8.258064516129032,0.58528,15.30288,2.7904,0.72,6.0,6.0,70.0,19.0
0.0,0.0,23.0,58.0,28.0,13.0,213.0,161.0,9.246575342465754,0.5138507851851851,18.59392,2.18,0.755868544600939,6.0,6.0,70.0,19.0
0.0,0.0,24.0,58.0,25.0,5.0,207.0,167.0,8.422018348623853,0.564159302832244,17.60816,2.18,0.8067632850241546,6.0,6.0,70.0,19.0
0.0,0.0,21.0,59.0,23.0,6.0,197.0,160.0,8.189573459715639,0.5901748148148148,17.1592,2.0056,0.8121827411167513,6.0,6.0,70.0,19.0
0.0,0.0,45.0,60.0,47.0,4.0,151.0,88.0,9.178807947019868,0.5354943722943722,13.1672,4.0984,0.5827814569536424,6.0,6.0,70.0,19.0
0.0,0.0,59.0,61.0,60.0,5.0,126.0,56.0,10.642857142857142,0.4695280536912752,10.9872,5.232,0.4444444444444444,6.0,6.0,70.0,19.0
0.0,0.0,30.0,60.0,33.0,12.0,182.0,135.0,9.387096774193548,0.5236123711340206,15.88832,2.8776,0.7417582417582418,6.0,6.0,70.0,19.0
0.0,0.0,42.0,60.0,45.0,3.0,144.0,96.0,8.449367088607595,0.5817240449438202,12.61312,3.924,0.6666666666666666,6.0,6.0,70.0,19.0
0.0,0.0,39.0,59.0,42.0,6.0,176.0,127.0,8.517587939698492,0.5674470324483777,15.43408,3.488,0.7215909090909091,6.0,6.0,70.0,19.0
0.0,0.0,39.0,60.0,40.0,4.0,143.0,97.0,8.468354430379748,0.580419730941704,12.44208,3.40608,0.6783216783216783,6.0,6.0,70.0,19.0
0.0,0.0,28.0,59.0,33.0,6.0,181.0,134.0,9.031746031746032,0.5351434797891037,15.80624,2.8776,0.7403314917127072,6.0,6.0,70.0,19.0
0.0,0.0,50.0,57.0,50.0,7.0,130.0,69.0,10.098591549295774,0.4623852719665272,11.37696,4.36,0.5307692307692308,6.0,6.0,70.0,19.0
1.0,1.0,35.0,66.0,42.0,4.0,180.0,133.0,8.613861386138614,0.6276766896551723,15.44416,3.31888,0.7388888888888889,6.0,6.0,70.0,19.0
0.0,0.0,25.0,64.0,30.0,11.0,204.0,169.0,8.223684210526315,0.6375342079999999,17.88032,2.4416,0.8284313725490197,6.0,6.0,70.0,19.0
1.0,1.0,36.0,64.0,45.0,2.0,169.0,112.0,8.138121546961326,0.644237121520706,14.68624,3.31888,0.6627218934911243,6.0,6.0,70.0,19.0
0.0,0.0,43.0,63.0,48.0,3.0,152.0,102.0,8.484662576687116,0.6082693275488069,13.29728,4.1856,0.6710526315789473,6.0,6.0,70.0,19.0
0.0,0.0,25.0,64.0,26.0,9.0,186.0,136.0,8.305263157894737,0.631271989860583,16.23072,2.2672,0.7311827956989247,6.0,6.0,70.0,19.0
