devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retransmissions
0.0,0.0,12.0,19.0,13.0,11.0,99.0,80.0,8.330097087378642,0.18685016317016317,8.64432,1.1336,0.8080808080808081,2.0,10.0,100.0,5.0,0.013995061728395061
0.0,0.0,14.0,18.0,15.0,4.0,95.0,77.0,8.424242424242424,0.17503769784172662,8.29552,1.308,0.8105263157894737,2.0,10.0,100.0,5.0,0.01676923076923077
0.0,0.0,11.0,20.0,12.0,16.0,98.0,78.0,8.352941176470589,0.1961464788732394,8.55712,1.0464,0.7959183673469388,2.0,10.0,100.0,5.0,0.013245569620253165
0.0,0.0,15.0,20.0,16.0,11.0,97.0,77.0,9.148514851485148,0.1790891774891775,8.46992,1.3952,0.7938144329896907,2.0,10.0,100.0,5.0,0.017887179487179487
0.0,0.0,11.0,21.0,11.0,14.0,98.0,79.0,7.647058823529412,0.22496492307692303,8.55712,0.9592,0.8061224489795918,2.0,10.0,100.0,5.0,0.01199
0.0,0.0,16.0,19.0,17.0,7.0,94.0,74.0,8.26530612244898,0.18831486419753082,8.20832,1.4824,0.7872340425531915,2.0,10.0,100.0,5.0,0.019765333333333333
0.0,0.0,13.0,20.0,13.0,11.0,97.0,77.0,8.376237623762377,0.19560094562647753,8.46992,1.1336,0.7938144329896907,2.0,10.0,100.0,5.0,0.014533333333333332
0.0,0.0,13.0,20.0,14.0,11.0,101.0,81.0,9.542857142857143,0.17168862275449104,8.81872,1.2208,0.801980198019802,2.0,10.0,100.0,5.0,0.014887804878048782
0.0,0.0,9.0,14.0,17.0,3.0,46.0,36.0,9.23076923076923,0.12424533333333335,4.06432,0.872,0.782608695652174,2.0,10.0,100.0,5.0,0.023567567567567567
1.0,1.0,11.0,11.0,12.0,0.0,11.0,0.0,15.0,0.060074666666666665,0.91296,0.87728,0.0,2.0,10.0,100.0,5.0,0.87728
0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,17.318181818181817,0.04730288713910761,0.90656,0.872,0.0,2.0,10.0,100.0,5.0,0.872
0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,17.727272727272727,0.046211282051282054,0.90656,0.872,0.0,5.0,7.0,100.0,5.0,0.872
0.0,0.0,10.0,10.0,10.0,0.0,10.0,0.0,18.272727272727273,0.0448318407960199,0.90656,0.872,0.0,5.0,7.0,100.0,5.0,0.872
0.0,0.0,9.0,9.0,9.0,0.0,9.0,0.0,17.714285714285715,0.04162064516129032,0.81936,0.7848,0.0,5.0,7.0,100.0,5.0,0.7848
0.0,0.0,10.0,11.0,13.0,0.0,10.0,0.0,19.043478260869566,0.04731908675799087,0.90768,0.872,0.0,2.0,10.0,100.0,5.0,0.872
1.0,1.0,12.0,14.0,20.0,5.0,27.0,14.0,14.926829268292684,0.07683346405228758,2.30944,0.96448,0.5185185185185185,5.0,7.0,100.0,5.0,0.06429866666666667
1.0,1.0,15.0,19.0,19.0,10.0,65.0,48.0,9.64864864864865,0.16131585434173668,5.6104,1.22608,0.7384615384615385,2.0,10.0,100.0,5.0,0.025022040816326533
0.0,0.0,17.0,19.0,17.0,6.0,75.0,55.0,10.708860759493671,0.14534505910165482,6.55152,1.4824,0.7333333333333333,2.0,10.0,100.0,5.0,0.02647142857142857
0.0,0.0,15.0,18.0,15.0,10.0,103.0,85.0,8.57943925233645,0.17187137254901957,8.99312,1.308,0.8252427184466019,2.0,10.0,100.0,5.0,0.015209302325581396
0.0,0.0,14.0,20.0,16.0,6.0,103.0,83.0,7.401869158878505,0.22134949494949493,8.99312,1.3952,0.8058252427184466,2.0,10.0,100.0,5.0,0.01660952380952381
