devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas,goodput_retrans_ratio
0.0,0.0,54.0,55.0,54.0,2.0,58.0,3.0,28.551724137931036,0.1578048309178744,5.0576,4.7088,0.05172413793103448,3.0,9.0,40.0,23.0,1.1772
1.0,1.0,59.0,60.0,60.0,1.0,63.0,4.0,26.203125,0.18758067978533094,5.4128,5.06288,0.06349206349206349,3.0,9.0,40.0,23.0,1.012576
0.0,0.0,59.0,57.0,59.0,0.0,58.0,0.0,28.75862068965517,0.162366618705036,5.0576,5.1448,0.0,2.0,10.0,40.0,23.0,5.1448
1.0,1.0,65.0,65.0,66.0,2.0,68.0,3.0,28.869565217391305,0.18444337349397588,5.8488,5.58608,0.04411764705882353,2.0,10.0,40.0,23.0,1.39652
0.0,0.0,62.0,63.0,67.0,2.0,65.0,2.0,29.271428571428572,0.1763139092240117,5.68048,5.4064,0.03076923076923077,2.0,10.0,40.0,23.0,1.8021333333333331
0.0,0.0,62.0,62.0,62.0,5.0,66.0,4.0,32.22727272727273,0.15760067700987304,5.7552,5.4064,0.06060606060606061,2.0,10.0,40.0,23.0,1.08128
0.0,0.0,64.0,63.0,64.0,2.0,66.0,3.0,33.54545454545455,0.15384975609756096,5.7552,5.5808,0.045454545454545456,2.0,10.0,40.0,23.0,1.3952
0.0,0.0,64.0,64.0,64.0,4.0,68.0,4.0,34.6764705882353,0.15119416454622558,5.9296,5.5808,0.058823529411764705,2.0,10.0,40.0,23.0,1.11616
0.0,0.0,65.0,65.0,65.0,1.0,66.0,1.0,36.81818181818182,0.1446241975308642,5.7552,5.668,0.015151515151515152,2.0,10.0,40.0,23.0,2.834
0.0,0.0,63.0,64.0,63.0,3.0,67.0,3.0,39.492537313432834,0.1327562207105064,5.8424,5.4936,0.04477611940298507,4.0,8.0,40.0,23.0,1.3734
0.0,0.0,64.0,63.0,67.0,2.0,67.0,4.0,38.05714285714286,0.1356108108108108,5.84928,5.5808,0.05970149253731343,2.0,10.0,40.0,23.0,1.11616
1.0,1.0,69.0,69.0,72.0,2.0,73.0,4.0,37.5,0.1507328,6.2904,5.93488,0.0547945205479452,2.0,10.0,40.0,23.0,1.186976
0.0,0.0,70.0,70.0,70.0,6.0,76.0,6.0,41.05263157894737,0.13968410256410255,6.6272,6.104,0.07894736842105263,2.0,10.0,40.0,23.0,0.872
1.0,1.0,70.0,70.0,71.0,3.0,73.0,3.0,39.932432432432435,0.14360257191201353,6.2848,6.02208,0.0410958904109589,2.0,10.0,40.0,23.0,1.50552
0.0,0.0,71.0,73.0,71.0,11.0,83.0,11.0,42.54216867469879,0.14057017275559333,7.2376,6.1912,0.13253012048192772,2.0,10.0,40.0,23.0,0.5159333333333334
0.0,0.0,74.0,72.0,74.0,17.0,90.0,17.0,43.43333333333333,0.13579984650805835,7.848,6.4528,0.18888888888888888,4.0,8.0,40.0,23.0,0.35848888888888886
0.0,0.0,75.0,75.0,83.0,6.0,81.0,6.0,38.561797752808985,0.15932867132867132,7.08256,6.54,0.07407407407407407,2.0,10.0,40.0,23.0,0.9342857142857143
