,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,throughput,goodThroughput,retransmissionsPerPacket,w
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
1,1.0,1.0,3.0,4.0,30.0,0.0,30.0,0.0,0.3304,0.17968,0.0,3.0
2,0.0,0.0,5.0,5.0,24.0,0.0,26.0,0.0,0.548,0.436,0.0,3.0
3,0.0,0.0,5.0,5.0,25.0,0.0,25.0,0.0,0.55008,0.436,0.0,3.0
4,0.0,0.0,5.0,5.0,7.0,0.0,7.0,0.0,0.46016,0.436,0.0,3.0
5,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
6,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
7,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
8,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
9,0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,0.36,0.3488,0.0,3.0
10,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
11,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
12,0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,0.44832,0.436,0.0,3.0
13,5.0,5.0,26.0,26.0,31.0,0.0,32.0,1.0,2.03904,1.8576,0.03125,3.0
14,4.0,4.0,30.0,47.0,35.0,2.0,115.0,69.0,8.6152,2.37552,0.6,3.0
15,1.0,1.0,19.0,58.0,20.0,4.0,198.0,157.0,15.98928,1.57488,0.7929292929292929,3.0
16,1.0,1.0,10.0,60.0,13.0,4.0,234.0,198.0,20.37056,0.96448,0.8461538461538461,3.0
17,0.0,0.0,12.0,56.0,16.0,4.0,212.0,176.0,18.42384,1.3952,0.8301886792452831,3.0
18,0.0,0.0,15.0,57.0,18.0,6.0,212.0,171.0,18.33888,1.5696,0.8066037735849056,3.0
19,0.0,0.0,13.0,57.0,13.0,6.0,223.0,188.0,19.81568,1.1336,0.8430493273542601,3.0
20,0.0,0.0,39.0,60.0,41.0,6.0,158.0,106.0,13.65584,3.5752,0.6708860759493671,3.0
21,0.0,0.0,14.0,59.0,14.0,4.0,212.0,171.0,18.4216,1.2208,0.8066037735849056,3.0
22,0.0,0.0,23.0,60.0,24.0,5.0,191.0,144.0,16.6888,2.0928,0.7539267015706806,3.0
23,0.0,0.0,14.0,60.0,15.0,4.0,213.0,169.0,18.59712,1.308,0.7934272300469484,3.0
24,0.0,0.0,12.0,59.0,13.0,4.0,204.0,161.0,17.98448,1.1336,0.7892156862745098,3.0
25,0.0,0.0,15.0,60.0,17.0,4.0,213.0,158.0,17.85152,1.4824,0.7417840375586855,3.0
26,0.0,0.0,17.0,56.0,19.0,6.0,216.0,167.0,18.9504,1.6568,0.7731481481481481,3.0
27,0.0,0.0,22.0,55.0,23.0,4.0,189.0,140.0,16.60048,2.0056,0.7407407407407407,3.0
28,0.0,0.0,17.0,60.0,18.0,4.0,214.0,164.0,18.42608,1.5696,0.7663551401869159,3.0
29,0.0,0.0,10.0,60.0,12.0,2.0,224.0,183.0,19.98896,1.0464,0.8169642857142857,3.0
30,0.0,0.0,12.0,59.0,15.0,4.0,220.0,169.0,19.0264,1.308,0.7681818181818182,3.0
31,0.0,0.0,12.0,60.0,16.0,2.0,226.0,172.0,19.64464,1.3952,0.7610619469026548,3.0
32,0.0,0.0,10.0,60.0,12.0,1.0,214.0,168.0,18.68096,1.0464,0.7850467289719626,3.0
33,0.0,0.0,16.0,59.0,16.0,5.0,212.0,158.0,18.51104,1.3952,0.7452830188679245,3.0
34,0.0,0.0,20.0,56.0,23.0,6.0,216.0,156.0,18.69328,2.0056,0.7222222222222222,3.0
35,0.0,0.0,16.0,58.0,20.0,3.0,224.0,174.0,19.16288,1.744,0.7767857142857143,3.0
36,0.0,0.0,20.0,57.0,23.0,5.0,215.0,161.0,18.95488,2.0056,0.7488372093023256,3.0
37,0.0,0.0,17.0,60.0,21.0,3.0,214.0,156.0,18.34224,1.8312,0.7289719626168224,3.0
38,0.0,0.0,20.0,59.0,22.0,6.0,196.0,146.0,17.47136,1.9184,0.7448979591836735,3.0
39,0.0,0.0,26.0,60.0,30.0,8.0,196.0,134.0,17.04432,2.616,0.6836734693877551,3.0
40,0.0,0.0,15.0,60.0,19.0,4.0,241.0,185.0,20.956,1.6568,0.7676348547717843,3.0
41,0.0,0.0,20.0,59.0,23.0,2.0,206.0,144.0,17.99568,2.0056,0.6990291262135923,3.0
42,0.0,0.0,19.0,59.0,22.0,3.0,235.0,174.0,20.52336,1.9184,0.7404255319148936,3.0
43,1.0,1.0,14.0,32.0,26.0,1.0,107.0,35.0,5.17248,1.22608,0.32710280373831774,3.0
44,1.0,1.0,34.0,14.0,38.0,2.0,86.0,8.0,3.7656,2.88288,0.09302325581395349,3.0
45,0.0,0.0,15.0,15.0,15.0,0.0,55.0,0.0,1.44672,1.308,0.0,3.0
46,1.0,1.0,19.0,17.0,29.0,1.0,64.0,3.0,1.84352,1.57488,0.046875,3.0
47,0.0,0.0,20.0,20.0,20.0,0.0,52.0,0.0,1.86528,1.744,0.0,3.0
48,0.0,0.0,20.0,20.0,20.0,0.0,52.0,0.0,1.86528,1.744,0.0,3.0
49,0.0,0.0,19.0,20.0,19.0,3.0,54.0,2.0,2.03856,1.6568,0.037037037037037035,3.0
50,0.0,0.0,20.0,19.0,23.0,6.0,59.0,8.0,2.40304,1.744,0.13559322033898305,3.0
51,1.0,1.0,24.0,25.0,31.0,4.0,65.0,6.0,2.52144,2.01088,0.09230769230769231,3.0
52,1.0,1.0,30.0,29.0,31.0,2.0,61.0,2.0,2.84112,2.53408,0.03278688524590164,3.0
53,0.0,0.0,29.0,36.0,35.0,5.0,65.0,7.0,3.19424,2.5288,0.1076923076923077,3.0
54,0.0,0.0,30.0,30.0,30.0,3.0,55.0,3.0,2.98448,2.616,0.05454545454545454,3.0
55,0.0,0.0,29.0,29.0,29.0,2.0,51.0,2.0,2.8,2.5288,0.0392156862745098,3.0
56,0.0,0.0,30.0,30.0,30.0,3.0,53.0,3.0,2.97552,2.616,0.05660377358490566,3.0
57,0.0,0.0,30.0,30.0,30.0,2.0,52.0,2.0,2.88832,2.616,0.038461538461538464,3.0
58,0.0,0.0,29.0,29.0,44.0,4.0,59.0,6.0,3.02096,2.5288,0.1016949152542373,3.0
59,4.0,4.0,46.0,52.0,58.0,14.0,116.0,45.0,7.86752,3.68352,0.3879310344827586,3.0
60,0.0,0.0,28.0,48.0,37.0,16.0,182.0,132.0,15.0784,2.7032,0.7252747252747253,3.0
61,0.0,0.0,24.0,48.0,27.0,10.0,175.0,133.0,14.38624,2.3544,0.76,3.0
62,0.0,0.0,32.0,49.0,35.0,5.0,139.0,97.0,11.82832,2.9648,0.697841726618705,3.0
63,0.0,0.0,22.0,52.0,26.0,8.0,162.0,127.0,13.33312,2.2672,0.7839506172839507,3.0
64,0.0,0.0,26.0,49.0,29.0,7.0,163.0,116.0,13.56672,2.5288,0.7116564417177914,3.0
65,0.0,0.0,25.0,50.0,28.0,2.0,152.0,113.0,13.2168,2.4416,0.743421052631579,3.0
66,0.0,0.0,30.0,50.0,31.0,2.0,157.0,114.0,13.48176,2.7032,0.7261146496815286,3.0
67,0.0,0.0,33.0,49.0,37.0,5.0,143.0,97.0,12.18048,3.2264,0.6783216783216783,3.0
68,0.0,0.0,24.0,47.0,29.0,6.0,185.0,130.0,15.15984,2.2672,0.7027027027027027,3.0
69,0.0,0.0,25.0,50.0,33.0,0.0,184.0,133.0,15.1568,2.616,0.7228260869565217,3.0
70,0.0,0.0,21.0,49.0,26.0,4.0,183.0,134.0,15.08224,2.0056,0.73224043715847,3.0
71,0.0,0.0,21.0,50.0,24.0,6.0,191.0,148.0,15.3024,2.0928,0.774869109947644,3.0
72,0.0,0.0,23.0,49.0,26.0,4.0,177.0,135.0,15.12624,2.2672,0.7627118644067796,3.0
73,0.0,0.0,20.0,51.0,22.0,2.0,182.0,135.0,15.47728,1.9184,0.7417582417582418,3.0
74,0.0,0.0,24.0,50.0,30.0,6.0,165.0,113.0,14.00384,2.616,0.6848484848484848,3.0
