devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,ocupacion,throughput,goodThroughput,retransmissionsPerPacket,w,c,tam_red,num_stas
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,40.0,17.0
1.0,1.0,3.0,4.0,9.0,0.0,3.0,0.0,6.0,0.05461333333333333,0.19328,0.17968,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,7.125,0.057487719298245615,0.44288,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,9.0,0.045511111111111106,0.4416,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,13.2,0.03103030303030303,0.436,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,10.0,0.0,5.0,0.0,12.0,0.03413333333333333,0.44848,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,8.0,0.0,5.0,0.0,17.25,0.02374492753623188,0.44288,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,7.0,0.0,5.0,0.0,25.714285714285715,0.015928888888888885,0.4416,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,43.2,0.009481481481481481,0.436,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,4.0,4.0,4.0,0.0,4.0,0.0,48.0,0.006826666666666667,0.3488,0.3488,0.0,5.0,7.0,40.0,17.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,40.0,17.0
0.0,0.0,5.0,5.0,15.0,0.0,5.0,0.0,22.0,0.01861818181818182,0.46096,0.436,0.0,5.0,7.0,40.0,17.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,40.0,17.0
0.0,0.0,5.0,5.0,5.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.436,0.0,5.0,7.0,40.0,17.0
0.0,0.0,5.0,5.0,14.0,0.0,5.0,0.0,23.142857142857142,0.017698765432098765,0.45664,0.436,0.0,5.0,7.0,40.0,17.0
0.0,0.0,5.0,5.0,11.0,0.0,5.0,0.0,27.818181818181817,0.014724183006535949,0.4528,0.436,0.0,6.0,6.0,40.0,17.0
0.0,0.0,4.0,5.0,4.0,0.0,5.0,0.0,54.0,0.007585185185185184,0.436,0.3488,0.0,6.0,6.0,40.0,17.0
1.0,1.0,11.0,10.0,12.0,0.0,10.0,0.0,23.454545454545453,0.034927131782945736,0.7912,0.87728,0.0,5.0,7.0,40.0,17.0
0.0,0.0,10.0,10.0,15.0,0.0,10.0,0.0,23.0,0.03561739130434782,0.88448,0.872,0.0,4.0,8.0,40.0,17.0
1.0,1.0,15.0,16.0,16.0,0.0,16.0,0.0,21.352941176470587,0.061383581267217636,1.3144,1.22608,0.0,4.0,8.0,40.0,17.0
0.0,0.0,15.0,14.0,15.0,0.0,14.0,0.0,26.142857142857142,0.04386972677595628,1.2208,1.308,0.0,5.0,7.0,40.0,17.0
1.0,1.0,21.0,21.0,22.0,0.0,21.0,0.0,20.454545454545453,0.08410453333333334,1.7504,1.74928,0.0,4.0,8.0,40.0,17.0
