,devrx_packets,devtxAP_packets,devrxAP_packets,devtx_packets,phyrx0k_packets,phyrxerrortrace_packets,phytx_packets,retransmissions,avg_datarate,throughput,goodThroughput,retransmissionsPerPacket,w
45,0.0,0.0,35.0,35.0,35.0,3.0,40.0,5.0,27.15,3.488,3.052,0.125,2.0
46,0.0,0.0,34.0,35.0,34.0,8.0,42.0,7.0,28.428571428571427,3.6624,2.9648,0.16666666666666666,2.0
47,0.0,0.0,35.0,34.0,35.0,6.0,41.0,7.0,27.073170731707318,3.5752,3.052,0.17073170731707318,2.0
48,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.384615384615383,3.4008,3.052,0.10256410256410256,2.0
49,0.0,0.0,35.0,35.0,35.0,8.0,43.0,8.0,26.790697674418606,3.7496,3.052,0.18604651162790697,2.0
50,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,26.7,3.488,3.052,0.125,2.0
51,0.0,0.0,33.0,33.0,33.0,2.0,35.0,2.0,27.085714285714285,3.052,2.8776,0.05714285714285714,2.0
52,0.0,0.0,32.0,32.0,32.0,4.0,36.0,4.0,27.333333333333332,3.1392,2.7904,0.1111111111111111,2.0
53,0.0,0.0,34.0,34.0,34.0,3.0,39.0,5.0,26.615384615384617,3.4008,2.9648,0.1282051282051282,2.0
54,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.23076923076923,3.4008,3.052,0.10256410256410256,2.0
55,0.0,0.0,34.0,34.0,34.0,6.0,40.0,6.0,29.4,3.488,2.9648,0.15,2.0
56,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,26.842105263157894,3.3136,3.052,0.07894736842105263,2.0
57,0.0,0.0,35.0,35.0,35.0,6.0,41.0,6.0,27.951219512195124,3.5752,3.052,0.14634146341463414,2.0
58,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,26.46153846153846,3.4008,3.052,0.10256410256410256,2.0
59,0.0,0.0,34.0,35.0,34.0,4.0,39.0,4.0,27.53846153846154,3.4008,2.9648,0.10256410256410256,2.0
60,0.0,0.0,32.0,32.0,32.0,1.0,33.0,1.0,26.181818181818183,2.8776,2.7904,0.030303030303030304,2.0
61,0.0,0.0,33.0,32.0,33.0,5.0,37.0,5.0,28.864864864864863,3.2264,2.8776,0.13513513513513514,2.0
62,0.0,0.0,35.0,35.0,35.0,5.0,43.0,8.0,26.093023255813954,3.7496,3.052,0.18604651162790697,2.0
63,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.0,3.3136,3.052,0.07894736842105263,2.0
64,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,26.68421052631579,3.3136,2.9648,0.10526315789473684,2.0
65,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.08108108108108,3.2264,3.052,0.05405405405405406,2.0
66,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.384615384615383,3.4008,3.052,0.10256410256410256,2.0
67,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.89189189189189,3.2264,3.052,0.05405405405405406,2.0
68,0.0,0.0,32.0,33.0,32.0,6.0,39.0,6.0,27.846153846153847,3.4008,2.7904,0.15384615384615385,2.0
69,0.0,0.0,33.0,32.0,33.0,3.0,35.0,3.0,27.257142857142856,3.052,2.8776,0.08571428571428572,2.0
70,0.0,0.0,34.0,34.0,34.0,5.0,39.0,5.0,26.0,3.4008,2.9648,0.1282051282051282,2.0
71,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,26.756756756756758,3.2264,3.052,0.05405405405405406,2.0
72,0.0,0.0,34.0,34.0,34.0,3.0,37.0,3.0,28.37837837837838,3.2264,2.9648,0.08108108108108109,2.0
73,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.31578947368421,3.3136,3.052,0.07894736842105263,2.0
74,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,28.0,3.4008,3.052,0.10256410256410256,2.0
75,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.0,3.3136,3.052,0.07894736842105263,2.0
76,0.0,0.0,34.0,35.0,34.0,4.0,39.0,4.0,28.307692307692307,3.4008,2.9648,0.10256410256410256,2.0
77,0.0,0.0,32.0,32.0,32.0,3.0,35.0,3.0,26.571428571428573,3.052,2.7904,0.08571428571428572,2.0
78,0.0,0.0,33.0,32.0,33.0,4.0,36.0,4.0,28.5,3.1392,2.8776,0.1111111111111111,2.0
79,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,26.923076923076923,3.4008,3.052,0.10256410256410256,2.0
80,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,28.105263157894736,3.3136,3.052,0.07894736842105263,2.0
81,0.0,0.0,34.0,34.0,34.0,2.0,36.0,2.0,27.833333333333332,3.1392,2.9648,0.05555555555555555,2.0
82,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.846153846153847,3.4008,3.052,0.10256410256410256,2.0
83,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,27.3,3.488,3.052,0.125,2.0
84,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,27.75,3.488,3.052,0.125,2.0
85,0.0,0.0,33.0,33.0,33.0,3.0,36.0,3.0,27.666666666666668,3.1392,2.8776,0.08333333333333333,2.0
86,0.0,0.0,32.0,32.0,32.0,3.0,35.0,3.0,27.771428571428572,3.052,2.7904,0.08571428571428572,2.0
87,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,27.157894736842106,3.3136,2.9648,0.10526315789473684,2.0
88,0.0,0.0,35.0,35.0,35.0,3.0,38.0,3.0,27.63157894736842,3.3136,3.052,0.07894736842105263,2.0
89,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,27.94736842105263,3.3136,2.9648,0.10526315789473684,2.0
90,0.0,0.0,35.0,35.0,35.0,5.0,44.0,9.0,25.363636363636363,3.8368,3.052,0.20454545454545456,2.0
91,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,24.833333333333332,3.1392,3.052,0.027777777777777776,2.0
92,0.0,0.0,35.0,35.0,35.0,2.0,37.0,2.0,27.405405405405407,3.2264,3.052,0.05405405405405406,2.0
93,0.0,0.0,35.0,35.0,35.0,1.0,36.0,1.0,27.333333333333332,3.1392,3.052,0.027777777777777776,2.0
94,0.0,0.0,32.0,32.0,32.0,5.0,37.0,5.0,27.72972972972973,3.2264,2.7904,0.13513513513513514,2.0
95,0.0,0.0,32.0,33.0,32.0,2.0,35.0,2.0,27.6,3.052,2.7904,0.05714285714285714,2.0
96,0.0,0.0,35.0,34.0,35.0,4.0,38.0,4.0,28.105263157894736,3.3136,3.052,0.10526315789473684,2.0
97,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,26.76923076923077,3.4008,3.052,0.10256410256410256,2.0
98,0.0,0.0,34.0,34.0,34.0,4.0,38.0,4.0,28.57894736842105,3.3136,2.9648,0.10526315789473684,2.0
99,0.0,0.0,35.0,35.0,35.0,4.0,39.0,4.0,27.076923076923077,3.4008,3.052,0.10256410256410256,2.0
100,0.0,0.0,35.0,35.0,35.0,5.0,40.0,5.0,27.15,3.488,3.052,0.125,2.0
